Glon Glat Vlsr Dgc azimuth Dsun
3.700000000000000000e+01 -2.500000000000000139e-02 3.179299999999999926e+01 6.424000000000000377e+00 1.252899999999999991e+01 2.315999999999999837e+00
3.600000000000000000e+01 -5.180000000000000160e-01 3.098300000000000054e+01 6.451999999999999957e+00 1.170899999999999963e+01 2.228000000000000203e+00
3.500000000000000000e+01 -7.399999999999999911e-01 3.031500000000000128e+01 6.477999999999999758e+00 1.097300000000000075e+01 2.149999999999999911e+00
3.400000000000000000e+01 -3.569999999999999840e-01 2.966499999999999915e+01 6.501000000000000334e+00 1.030400000000000027e+01 2.079000000000000181e+00
3.300000000000000000e+01 -1.099999999999999936e-02 2.901500000000000057e+01 6.522000000000000242e+00 9.692000000000000171e+00 2.016000000000000014e+00
3.200000000000000000e+01 8.699999999999999400e-02 2.836499999999999844e+01 6.541999999999999815e+00 9.127000000000000668e+00 1.957999999999999963e+00
3.100000000000000000e+01 1.459999999999999909e-01 2.771600000000000108e+01 6.560999999999999943e+00 8.602999999999999758e+00 1.905000000000000027e+00
3.000000000000000000e+01 1.759999999999999898e-01 2.706599999999999895e+01 6.578000000000000291e+00 8.114000000000000767e+00 1.856999999999999984e+00
2.900000000000000000e+01 2.000000000000000111e-01 2.641600000000000037e+01 6.594000000000000306e+00 7.655000000000000249e+00 1.812000000000000055e+00
2.800000000000000000e+01 2.240000000000000047e-01 2.576599999999999824e+01 6.608999999999999986e+00 7.224000000000000199e+00 1.770000000000000018e+00
2.700000000000000000e+01 2.330000000000000127e-01 2.511599999999999966e+01 6.623999999999999666e+00 6.817000000000000171e+00 1.731999999999999984e+00
2.600000000000000000e+01 2.210000000000000020e-01 2.446600000000000108e+01 6.637999999999999901e+00 6.431000000000000050e+00 1.695999999999999952e+00
2.500000000000000000e+01 2.089999999999999913e-01 2.381700000000000017e+01 6.650999999999999801e+00 6.062999999999999723e+00 1.661999999999999922e+00
2.400000000000000000e+01 1.980000000000000093e-01 2.316700000000000159e+01 6.663000000000000256e+00 5.714000000000000412e+00 1.631000000000000005e+00
2.300000000000000000e+01 1.710000000000000131e-01 2.251699999999999946e+01 6.674999999999999822e+00 5.378999999999999559e+00 1.602000000000000091e+00
2.200000000000000000e+01 1.449999999999999900e-01 2.186700000000000088e+01 6.687000000000000277e+00 5.059000000000000163e+00 1.574000000000000066e+00
2.100000000000000000e+01 1.179999999999999938e-01 2.121699999999999875e+01 6.698000000000000398e+00 4.751999999999999780e+00 1.548000000000000043e+00
2.000000000000000000e+01 1.320000000000000062e-01 2.056700000000000017e+01 6.708000000000000185e+00 4.456000000000000405e+00 1.524000000000000021e+00
1.900000000000000000e+01 1.499999999999999944e-01 1.991700000000000159e+01 6.719000000000000306e+00 4.171000000000000263e+00 1.500999999999999890e+00
1.800000000000000000e+01 2.149999999999999967e-01 1.926800000000000068e+01 6.727999999999999758e+00 3.895999999999999908e+00 1.479000000000000092e+00
1.700000000000000000e+01 3.099999999999999978e-01 1.861799999999999855e+01 6.738000000000000433e+00 3.629999999999999893e+00 1.459000000000000075e+00
1.600000000000000000e+01 -1.039999999999999952e-01 1.769600000000000151e+01 6.746999999999999886e+00 3.373000000000000220e+00 1.439999999999999947e+00
1.500000000000000000e+01 -4.279999999999999916e-01 1.669999999999999929e+01 6.756000000000000227e+00 3.123000000000000220e+00 1.421999999999999931e+00
1.400000000000000000e+01 -6.139999999999999902e-01 1.570500000000000007e+01 6.764999999999999680e+00 2.879999999999999893e+00 1.405000000000000027e+00
1.300000000000000000e+01 -6.139999999999999902e-01 1.465199999999999925e+01 6.774000000000000021e+00 2.644000000000000128e+00 1.389000000000000012e+00
1.200000000000000000e+01 -6.139999999999999902e-01 1.355899999999999928e+01 6.782000000000000028e+00 2.412999999999999812e+00 1.374000000000000110e+00
1.100000000000000000e+01 -6.139999999999999902e-01 1.246700000000000053e+01 6.790000000000000036e+00 2.189000000000000057e+00 1.360000000000000098e+00
1.000000000000000000e+01 -6.139999999999999902e-01 1.137400000000000055e+01 6.798000000000000043e+00 1.969999999999999973e+00 1.346000000000000085e+00
9.000000000000000000e+00 -6.139999999999999902e-01 1.028100000000000058e+01 6.806000000000000050e+00 1.756000000000000005e+00 1.332999999999999963e+00
8.000000000000000000e+00 -6.139999999999999902e-01 9.189000000000000057e+00 6.814000000000000057e+00 1.546000000000000041e+00 1.320999999999999952e+00
