Glon Glat Vlsr Dgc azimuth Dsun
2.961100000000000136e+02 -5.400000000000000355e-01 2.234199999999999875e+01 8.948000000000000398e+00 -6.123499999999999943e+01 8.734999999999999432e+00
2.965500000000000114e+02 -4.899999999999999911e-01 2.295499999999999829e+01 8.974999999999999645e+00 -6.222800000000000153e+01 8.877000000000000668e+00
2.969940000000000282e+02 -4.600000000000000200e-01 2.355900000000000105e+01 9.003000000000000114e+00 -6.322200000000000131e+01 9.019999999999999574e+00
2.974429999999999836e+02 -4.299999999999999933e-01 2.415599999999999881e+01 9.029999999999999361e+00 -6.422100000000000364e+01 9.163000000000000256e+00
2.978949999999999818e+02 -4.000000000000000222e-01 2.474500000000000099e+01 9.057999999999999829e+00 -6.522100000000000364e+01 9.304999999999999716e+00
2.983509999999999991e+02 -3.800000000000000044e-01 2.532400000000000162e+01 9.086000000000000298e+00 -6.622299999999999898e+01 9.448000000000000398e+00
2.988100000000000023e+02 -3.599999999999999867e-01 2.589300000000000068e+01 9.114000000000000767e+00 -6.722499999999999432e+01 9.590999999999999304e+00
2.992730000000000246e+02 -3.599999999999999867e-01 2.645400000000000063e+01 9.141999999999999460e+00 -6.823099999999999454e+01 9.733000000000000540e+00
2.997400000000000091e+02 -3.800000000000000044e-01 2.700499999999999901e+01 9.170999999999999375e+00 -6.923900000000000432e+01 9.875999999999999446e+00
3.002099999999999795e+02 -4.329999999999999960e-01 2.754500000000000171e+01 9.198999999999999844e+00 -7.024899999999999523e+01 1.001900000000000013e+01
3.006840000000000259e+02 -5.000000000000000000e-01 2.807499999999999929e+01 9.227999999999999758e+00 -7.126200000000000045e+01 1.016200000000000081e+01
3.011600000000000250e+02 -5.799999999999999600e-01 2.859299999999999997e+01 9.256999999999999673e+00 -7.227400000000000091e+01 1.030400000000000027e+01
3.016399999999999864e+02 -5.999999999999999778e-01 2.910300000000000153e+01 9.285999999999999588e+00 -7.329000000000000625e+01 1.044599999999999973e+01
3.021229999999999905e+02 -5.999999999999999778e-01 2.960300000000000153e+01 9.314999999999999503e+00 -7.430700000000000216e+01 1.058900000000000041e+01
3.026089999999999804e+02 -5.000000000000000000e-01 3.009600000000000009e+01 9.343999999999999417e+00 -7.532699999999999818e+01 1.073099999999999987e+01
3.030980000000000132e+02 -4.299999999999999933e-01 3.057600000000000051e+01 9.374000000000000554e+00 -7.634799999999999898e+01 1.087299999999999933e+01
3.035899999999999750e+02 -3.699999999999999956e-01 3.104299999999999926e+01 9.403000000000000469e+00 -7.737000000000000455e+01 1.101500000000000057e+01
3.040840000000000032e+02 -3.400000000000000244e-01 3.149800000000000111e+01 9.432999999999999829e+00 -7.839300000000000068e+01 1.115600000000000058e+01
3.045810000000000173e+02 -3.900000000000000133e-01 3.194000000000000128e+01 9.462999999999999190e+00 -7.941800000000000637e+01 1.129800000000000004e+01
3.050810000000000173e+02 -4.299999999999999933e-01 3.236999999999999744e+01 9.493000000000000327e+00 -8.044499999999999318e+01 1.143900000000000006e+01
3.055840000000000032e+02 -4.699999999999999734e-01 3.278799999999999670e+01 9.522999999999999687e+00 -8.147499999999999432e+01 1.158000000000000007e+01
3.060889999999999986e+02 -5.200000000000000178e-01 3.319299999999999784e+01 9.553000000000000824e+00 -8.250499999999999545e+01 1.172000000000000064e+01
3.065969999999999800e+02 -5.600000000000000533e-01 3.358599999999999852e+01 9.583000000000000185e+00 -8.353700000000000614e+01 1.186100000000000065e+01
3.071080000000000041e+02 -5.699999999999999512e-01 3.396699999999999875e+01 9.614000000000000767e+00 -8.457099999999999795e+01 1.200099999999999945e+01
3.076209999999999809e+02 -5.300000000000000266e-01 3.433599999999999852e+01 9.644999999999999574e+00 -8.560599999999999454e+01 1.214100000000000001e+01
3.081360000000000241e+02 -4.779999999999999805e-01 3.469100000000000250e+01 9.675000000000000711e+00 -8.664199999999999591e+01 1.227999999999999936e+01
3.086539999999999964e+02 -4.779999999999999805e-01 3.503300000000000125e+01 9.705999999999999517e+00 -8.768000000000000682e+01 1.241900000000000048e+01
3.091739999999999782e+02 -4.779999999999999805e-01 3.535999999999999943e+01 9.737000000000000099e+00 -8.871899999999999409e+01 1.255799999999999983e+01
3.096960000000000264e+02 -4.779999999999999805e-01 3.567300000000000182e+01 9.769000000000000128e+00 -8.975900000000000034e+01 1.269599999999999973e+01
3.102210000000000036e+02 -4.600000000000000200e-01 3.597399999999999665e+01 9.800000000000000711e+00 -9.080100000000000193e+01 1.283300000000000018e+01
3.107479999999999905e+02 -4.299999999999999933e-01 3.625900000000000034e+01 9.832000000000000739e+00 -9.184399999999999409e+01 1.297100000000000009e+01
3.112769999999999868e+02 -3.699999999999999956e-01 3.653099999999999881e+01 9.862999999999999545e+00 -9.288800000000000523e+01 1.310699999999999932e+01
